,node_id,x,y,type,class
0,1,95.60017096289754,22.611443367452743,TAZ,Zones
1,2,20.768181007914688,85.32397499056063,TAZ,Zones
2,3,82.84448852745308,30.631786553212383,TAZ,Zones
3,4,14.928212308202028,96.98303682063218,TAZ,Zones
4,5,51.28046164365648,51.78342136168696,TAZ,Zones
5,6,13.591960402050663,32.24745587660613,TAZ,Zones
6,7,68.90364797811311,28.243351716467956,TAZ,Zones
7,8,84.1747724312279,60.5864995819676,TAZ,Zones
8,9,42.55089974049766,33.37644567193383,TAZ,Zones
9,10,95.69260034533661,67.8648773508143,TAZ,Zones
10,11,82.53329063847983,15.442507046089403,TAZ,Zones
11,12,33.8215312471576,24.977551939628317,TAZ,Zones
12,13,57.57605479445136,86.98942460561098,TAZ,Zones
13,14,75.33018647084769,60.036782043591906,TAZ,Zones
14,15,82.71039370247955,26.198305597053373,TAZ,Zones
15,16,93.34384708515813,14.941490058098827,TAZ,Zones
16,17,14.49946949362273,13.67891494851895,TAZ,Zones
17,18,74.55802110439375,24.892093759149635,TAZ,Zones
18,19,13.935139386782236,38.28246665704073,TAZ,Zones
19,20,90.65287561129269,64.90790566244355,TAZ,Zones
20,21,83.75637600610617,43.786435768880025,AUX,Zones
21,22,77.60319470104766,57.421758990301996,AUX,Zones
22,23,33.95155752344186,37.326922352029065,AUX,Zones
23,24,14.856873827232375,63.38250573620988,AUX,Zones
24,25,45.701938669236796,11.464435897915104,AUX,Zones
25,26,23.309047423143838,70.95610049633248,INTERSECTION,Non-Zones
26,27,76.72410170387272,79.16206000650641,INTERSECTION,Non-Zones
27,28,98.71242718900939,4.431150033739939,INTERSECTION,Non-Zones
28,29,80.80010793223609,62.59227492601427,INTERSECTION,Non-Zones
29,30,84.29656440249241,24.98622982790285,INTERSECTION,Non-Zones
30,31,79.56826785952505,42.725624161972306,INTERSECTION,Non-Zones
31,32,45.684130658483646,79.05134972617674,INTERSECTION,Non-Zones
32,33,73.86706750360057,53.16016891970812,INTERSECTION,Non-Zones
33,34,57.8454992599021,1.303743209502628,INTERSECTION,Non-Zones
34,35,45.07355667575642,1.9875053695302625,INTERSECTION,Non-Zones
35,36,27.102441760625386,39.04180305189363,INTERSECTION,Non-Zones
36,37,86.46031466179812,89.53020285437225,INTERSECTION,Non-Zones
37,38,6.8655665918533,23.155372820210108,INTERSECTION,Non-Zones
38,39,81.67344595207268,44.43521295452608,INTERSECTION,Non-Zones
39,40,88.18349988791925,14.407300562858893,INTERSECTION,Non-Zones
40,41,42.351639281525834,80.96859408879166,INTERSECTION,Non-Zones
41,42,83.3229314126865,38.216187599787766,INTERSECTION,Non-Zones
42,43,34.10167131004781,35.692557293759165,INTERSECTION,Non-Zones
43,44,51.979150694528876,25.685379918071447,INTERSECTION,Non-Zones
44,45,54.9206449325483,83.58738755196609,INTERSECTION,Non-Zones
45,46,19.287718263106868,43.65490374156782,INTERSECTION,Non-Zones
46,47,33.32168863569819,4.974508225206087,INTERSECTION,Non-Zones
47,48,27.752455945265563,80.37502885144477,INTERSECTION,Non-Zones
48,49,45.75589323943279,25.35037446918107,INTERSECTION,Non-Zones
49,50,67.48456216796134,18.202749875330284,INTERSECTION,Non-Zones
50,51,68.3831218905259,23.369029086844662,INTERSECTION,Non-Zones
51,52,52.361311794377905,54.35875534095606,INTERSECTION,Non-Zones
52,53,46.437256951142345,96.2872121688738,INTERSECTION,Non-Zones
53,54,50.862936001480854,28.424066540969218,INTERSECTION,Non-Zones
54,55,32.46042864682826,45.639521687654195,INTERSECTION,Non-Zones
55,56,17.260070459550057,61.29540356481207,INTERSECTION,Non-Zones
56,57,29.93334503637477,97.58167207869928,INTERSECTION,Non-Zones
57,58,64.85672785901764,95.34266733001742,INTERSECTION,Non-Zones
58,59,6.471590784295477,39.94915609400469,INTERSECTION,Non-Zones
59,60,63.370843388589215,37.28713724573951,INTERSECTION,Non-Zones
60,61,27.900151933514906,42.8978211336638,INTERSECTION,Non-Zones
61,62,18.59599237566839,11.08531185486028,INTERSECTION,Non-Zones
62,63,48.904812471481804,83.01568948315573,INTERSECTION,Non-Zones
63,64,35.36850815497154,88.84574800189988,INTERSECTION,Non-Zones
64,65,9.620201985648647,37.55817196665268,INTERSECTION,Non-Zones
