,link_id,reverse_link_id,init_node,term_node,capacity_per_lane,lanes,total_capacity,effective_capacity,length,free_flow_time,b,power,speed,vdf,toll,link_type,assigned_flow,travel_time,v/c
0,1,2,1,40,9999.0,1,9999.0,119988.0,11.059609802908444,0.0011060715874495893,0.0,0.0,9999.0,99,0,99,4306.271597418096,0.0011060715874495893,0.03588918556370717
1,2,1,40,1,9999.0,1,9999.0,119988.0,11.059609802908444,0.0011060715874495893,0.0,0.0,9999.0,99,0,99,4866.999229695027,0.0011060715874495893,0.04056238315244047
2,3,4,2,48,9999.0,1,9999.0,119988.0,8.559916137929003,0.0008560772215150518,0.0,0.0,9999.0,99,0,99,4374.774191301121,0.0008560772215150518,0.036460097603936405
3,4,3,48,2,9999.0,1,9999.0,119988.0,8.559916137929003,0.0008560772215150518,0.0,0.0,9999.0,99,0,99,4508.521774839529,0.0008560772215150518,0.037574772267556164
4,5,6,3,30,9999.0,1,9999.0,119988.0,5.829308285342174,0.0005829891274469621,0.0,0.0,9999.0,99,0,99,4614.392768110818,0.0005829891274469621,0.0384571187794681
5,6,5,30,3,9999.0,1,9999.0,119988.0,5.829308285342174,0.0005829891274469621,0.0,0.0,9999.0,99,0,99,3819.1952307540123,0.0005829891274469621,0.0318298099039405
6,7,8,4,57,9999.0,1,9999.0,119988.0,15.017069366633487,0.0015018571223755863,0.0,0.0,9999.0,99,0,99,5003.835999291404,0.0015018571223755863,0.04170280360778914
7,8,7,57,4,9999.0,1,9999.0,119988.0,15.017069366633487,0.0015018571223755863,0.0,0.0,9999.0,99,0,99,5195.624226510787,0.0015018571223755863,0.04330119867412397
8,9,10,5,52,9999.0,1,9999.0,119988.0,2.7929522289313375,0.0002793231552086546,0.0,0.0,9999.0,99,0,99,4511.319972193926,0.0002793231552086546,0.03759809291090714
9,10,9,52,5,9999.0,1,9999.0,119988.0,2.7929522289313375,0.0002793231552086546,0.0,0.0,9999.0,99,0,99,4550.859433703401,0.0002793231552086546,0.03792762137633264
10,11,12,6,65,9999.0,1,9999.0,119988.0,6.631634060119688,0.0006632297289848673,0.0,0.0,9999.0,99,0,99,4780.225797648565,0.0006632297289848673,0.03983919890029474
11,12,11,65,6,9999.0,1,9999.0,119988.0,6.631634060119688,0.0006632297289848673,0.0,0.0,9999.0,99,0,99,5524.663141786391,0.0006632297289848673,0.04604346386127272
12,13,14,7,51,9999.0,1,9999.0,119988.0,4.902037179124266,0.0004902527431867453,0.0,0.0,9999.0,99,0,99,5487.59431525436,0.0004902527431867453,0.04573452607972764
13,14,13,51,7,9999.0,1,9999.0,119988.0,4.902037179124266,0.0004902527431867453,0.0,0.0,9999.0,99,0,99,3920.912651225216,0.0004902527431867453,0.03267753984752822
14,15,16,8,29,9999.0,1,9999.0,119988.0,3.9257477264262843,0.00039261403404603303,0.0,0.0,9999.0,99,0,99,4352.547774882311,0.00039261403404603303,0.03627485894324692
15,16,15,29,8,9999.0,1,9999.0,119988.0,3.9257477264262843,0.00039261403404603303,0.0,0.0,9999.0,99,0,99,4431.916440436364,0.00039261403404603303,0.036936330636700036
16,17,18,9,49,9999.0,1,9999.0,119988.0,8.642326207675428,0.00086431905267281,0.0,0.0,9999.0,99,0,99,4373.344695466038,0.00086431905267281,0.036448183947278376
17,18,17,49,9,9999.0,1,9999.0,119988.0,8.642326207675428,0.00086431905267281,0.0,0.0,9999.0,99,0,99,5702.996245471263,0.00086431905267281,0.04752972168442897
18,19,20,10,29,9999.0,1,9999.0,119988.0,15.798312144158436,0.0015799892133371773,0.0,0.0,9999.0,99,0,99,4079.1794182613485,0.0015799892133371773,0.03399656147499207
19,20,19,29,10,9999.0,1,9999.0,119988.0,15.798312144158436,0.0015799892133371773,0.0,0.0,9999.0,99,0,99,5144.647984340393,0.0015799892133371773,0.042876354171587104
20,21,22,11,40,9999.0,1,9999.0,119988.0,5.7442594845091515,0.0005744833967905942,0.0,0.0,9999.0,99,0,99,4960.573051375963,0.0005744833967905942,0.04134224298576493
21,22,21,40,11,9999.0,1,9999.0,119988.0,5.7442594845091515,0.0005744833967905942,0.0,0.0,9999.0,99,0,99,5042.641330164173,0.0005744833967905942,0.04202621370607205
22,23,24,12,43,9999.0,1,9999.0,119988.0,10.718666810470829,0.0010719738784349263,0.0,0.0,9999.0,99,0,99,5160.209816141585,0.0010719738784349263,0.04300604907275382
23,24,23,43,12,9999.0,1,9999.0,119988.0,10.718666810470829,0.0010719738784349263,0.0,0.0,9999.0,99,0,99,4172.810544719963,0.0010719738784349263,0.03477689889588928
24,25,26,13,45,9999.0,1,9999.0,119988.0,4.31567580444417,0.00043161074151856885,0.0,0.0,9999.0,99,0,99,4549.4514915121445,0.00043161074151856885,0.03791588735133634
25,26,25,45,13,9999.0,1,9999.0,119988.0,4.31567580444417,0.00043161074151856885,0.0,0.0,9999.0,99,0,99,4185.392788161774,0.00043161074151856885,0.03488176141082253
26,27,28,14,29,9999.0,1,9999.0,119988.0,6.037431959522916,0.0006038035763099226,0.0,0.0,9999.0,99,0,99,3698.996132351819,0.0006038035763099226,0.030828050574655957
27,28,27,29,14,9999.0,1,9999.0,119988.0,6.037431959522916,0.0006038035763099226,0.0,0.0,9999.0,99,0,99,4689.565655033504,0.0006038035763099226,0.039083622154161286
28,29,30,15,30,9999.0,1,9999.0,119988.0,1.9962627982660777,0.00019964624445105287,0.0,0.0,9999.0,99,0,99,4874.8988928704475,0.00019964624445105287,0.040628220262613327
29,30,29,30,15,9999.0,1,9999.0,119988.0,1.9962627982660777,0.00019964624445105287,0.0,0.0,9999.0,99,0,99,4649.735113056749,0.00019964624445105287,0.038751667775583795
30,31,32,16,40,9999.0,1,9999.0,119988.0,5.187922668359257,0.0005188441512510508,0.0,0.0,9999.0,99,0,99,4319.249685138508,0.0005188441512510508,0.035997347110865316
31,32,31,40,16,9999.0,1,9999.0,119988.0,5.187922668359257,0.0005188441512510508,0.0,0.0,9999.0,99,0,99,4427.277643851012,0.0005188441512510508,0.036897670132438345
32,33,34,17,62,9999.0,1,9999.0,119988.0,4.848533461837664,0.0004849018363674031,0.0,0.0,9999.0,99,0,99,4661.840990673109,0.0004849018363674031,0.03885256017829374
33,34,33,62,17,9999.0,1,9999.0,119988.0,4.848533461837664,0.0004849018363674031,0.0,0.0,9999.0,99,0,99,5006.605779485776,0.0004849018363674031,0.04172588741778991
34,35,36,18,51,9999.0,1,9999.0,119988.0,6.35996118678795,0.0006360597246512601,0.0,0.0,9999.0,99,0,99,3928.05071898887,0.0006360597246512601,0.03273702969454337
35,36,35,51,18,9999.0,1,9999.0,119988.0,6.35996118678795,0.0006360597246512601,0.0,0.0,9999.0,99,0,99,5355.736528608845,0.0006360597246512601,0.0446356012985369
36,37,38,19,65,9999.0,1,9999.0,119988.0,4.375304283615691,0.0004375741857801471,0.0,0.0,9999.0,99,0,99,5026.698630004409,0.0004375741857801471,0.041893344584495194
37,38,37,65,19,9999.0,1,9999.0,119988.0,4.375304283615691,0.0004375741857801471,0.0,0.0,9999.0,99,0,99,4425.6417593831,0.0004375741857801471,0.03688403639849902
38,39,40,20,29,9999.0,1,9999.0,119988.0,10.12122406850863,0.0010122236292137844,0.0,0.0,9999.0,99,0,99,5194.052067733163,0.0010122236292137844,0.043288096040713764
39,40,39,29,20,9999.0,1,9999.0,119988.0,10.12122406850863,0.0010122236292137844,0.0,0.0,9999.0,99,0,99,4263.191285034919,0.0010122236292137844,0.035530147056663325
40,41,42,21,39,9999.0,1,9999.0,119988.0,2.1816299976418416,0.00021818481824600877,0.0,0.0,9999.0,99,0,99,4703.970249413402,0.00021818481824600877,0.039203672445689584
41,42,41,39,21,9999.0,1,9999.0,119988.0,2.1816299976418416,0.00021818481824600877,0.0,0.0,9999.0,99,0,99,5410.302838576976,0.00021818481824600877,0.045090366024743936
42,43,44,22,33,9999.0,1,9999.0,119988.0,5.667432960811108,0.0005667999760787186,0.0,0.0,9999.0,99,0,99,5097.181333655236,0.0005667999760787186,0.04248075918971261
43,44,43,33,22,9999.0,1,9999.0,119988.0,5.667432960811108,0.0005667999760787186,0.0,0.0,9999.0,99,0,99,3663.735107599104,0.0005667999760787186,0.03053417931459066
44,45,46,23,43,9999.0,1,9999.0,119988.0,1.6412444341482928,0.00016414085750057934,0.0,0.0,9999.0,99,0,99,5234.577545418469,0.00016414085750057934,0.04362584212936684
45,46,45,43,23,9999.0,1,9999.0,119988.0,1.6412444341482928,0.00016414085750057934,0.0,0.0,9999.0,99,0,99,4364.633648015651,0.00016414085750057934,0.03637558462525962
46,47,48,24,56,9999.0,1,9999.0,119988.0,3.182978090945098,0.00031832964205871566,0.0,0.0,9999.0,99,0,99,5360.210406731429,0.00031832964205871566,0.04467288734482973
47,48,47,56,24,9999.0,1,9999.0,119988.0,3.182978090945098,0.00031832964205871566,0.0,0.0,9999.0,99,0,99,4567.43525652214,0.00031832964205871566,0.038065767047722604
