,origin_id,destination_id,route_idx,route,num_nodes,num_links,weight_name,route_weight
0,1,1,0,"[1, 40, 1]",3,2,free_flow_time,0.0022121431748991787
1,1,2,0,"[1, 40, 30, 42, 60, 52, 32, 41, 48, 2]",10,9,free_flow_time,2.118547834471163
2,1,2,1,"[1, 40, 30, 51, 60, 52, 32, 41, 48, 2]",10,9,free_flow_time,2.123193865554593
3,1,2,2,"[1, 40, 30, 42, 60, 52, 32, 41, 64, 48, 2]",11,10,free_flow_time,2.2176343542878314
4,1,2,3,"[1, 40, 50, 51, 60, 52, 32, 41, 48, 2]",10,9,free_flow_time,2.2201712521930292
5,1,2,4,"[1, 40, 30, 51, 60, 52, 32, 41, 64, 48, 2]",11,10,free_flow_time,2.2222803853712616
6,1,2,5,"[1, 40, 30, 42, 39, 31, 60, 52, 32, 41, 48, 2]",12,11,free_flow_time,2.2228533249774167
7,1,2,6,"[1, 40, 30, 42, 31, 60, 52, 32, 41, 48, 2]",11,10,free_flow_time,2.266017938822641
8,1,2,7,"[1, 40, 30, 42, 39, 33, 27, 45, 32, 41, 48, 2]",12,11,free_flow_time,2.3014008250025255
9,1,2,8,"[1, 40, 30, 50, 51, 60, 52, 32, 41, 48, 2]",11,10,free_flow_time,2.310841959907705
10,1,2,9,"[1, 40, 30, 51, 44, 54, 52, 32, 41, 48, 2]",11,10,free_flow_time,2.3128764566490307
11,1,3,0,"[1, 40, 30, 3]",4,3,free_flow_time,0.18952913147743672
12,1,3,1,"[1, 40, 50, 30, 3]",5,4,free_flow_time,1.3074554421657456
13,1,3,2,"[1, 40, 28, 30, 3]",5,4,free_flow_time,1.3220520318096174
14,1,3,3,"[1, 40, 50, 51, 30, 3]",6,5,free_flow_time,1.352866871672758
15,1,3,4,"[1, 40, 28, 42, 30, 3]",6,5,free_flow_time,1.5461150944596385
16,1,3,5,"[1, 40, 50, 51, 42, 30, 3]",7,6,free_flow_time,1.6129223680862783
17,1,3,6,"[1, 40, 50, 51, 60, 42, 30, 3]",8,7,free_flow_time,1.8413251461020574
18,1,3,7,"[1, 40, 50, 51, 60, 31, 39, 42, 30, 3]",10,9,free_flow_time,1.9456306366083114
19,1,3,8,"[1, 40, 28, 42, 51, 30, 3]",7,6,free_flow_time,1.9881485639716145
20,1,3,9,"[1, 40, 50, 51, 60, 31, 42, 30, 3]",9,8,free_flow_time,1.9887952504535358
21,1,4,0,"[1, 40, 30, 42, 60, 52, 32, 41, 64, 57, 4]",11,10,free_flow_time,2.1999066889756143
22,1,4,1,"[1, 40, 30, 51, 60, 52, 32, 41, 64, 57, 4]",11,10,free_flow_time,2.2045527200590445
23,1,4,2,"[1, 40, 50, 51, 60, 52, 32, 41, 64, 57, 4]",11,10,free_flow_time,2.3015301066974807
24,1,4,3,"[1, 40, 30, 42, 39, 31, 60, 52, 32, 41, 64, 57, 4]",13,12,free_flow_time,2.304212179481868
25,1,4,4,"[1, 40, 30, 42, 60, 52, 32, 41, 53, 57, 4]",11,10,free_flow_time,2.334644181282281
26,1,4,5,"[1, 40, 30, 51, 60, 52, 32, 41, 53, 57, 4]",11,10,free_flow_time,2.3392902123657113
27,1,4,6,"[1, 40, 30, 42, 31, 60, 52, 32, 41, 64, 57, 4]",12,11,free_flow_time,2.3473767933270926
28,1,4,7,"[1, 40, 30, 42, 39, 33, 27, 45, 32, 41, 64, 57, 4]",13,12,free_flow_time,2.382759679506977
29,1,4,8,"[1, 40, 30, 50, 51, 60, 52, 32, 41, 64, 57, 4]",12,11,free_flow_time,2.3922008144121563
30,1,4,9,"[1, 40, 30, 51, 44, 54, 52, 32, 41, 64, 57, 4]",12,11,free_flow_time,2.394235311153482
31,1,5,0,"[1, 40, 30, 42, 60, 52, 5]",7,6,free_flow_time,1.3028748757133968
32,1,5,1,"[1, 40, 30, 51, 60, 52, 5]",7,6,free_flow_time,1.3075209067968268
33,1,5,2,"[1, 40, 50, 51, 60, 52, 5]",7,6,free_flow_time,1.404498293435263
34,1,5,3,"[1, 40, 30, 42, 39, 31, 60, 52, 5]",9,8,free_flow_time,1.4071803662196507
35,1,5,4,"[1, 40, 30, 42, 31, 60, 52, 5]",8,7,free_flow_time,1.4503449800648751
36,1,5,5,"[1, 40, 30, 50, 51, 60, 52, 5]",8,7,free_flow_time,1.4951690011499386
37,1,5,6,"[1, 40, 30, 51, 44, 54, 52, 5]",8,7,free_flow_time,1.4972034978912647
38,1,5,7,"[1, 40, 30, 42, 51, 60, 52, 5]",8,7,free_flow_time,1.567576403210347
39,1,5,8,"[1, 40, 30, 42, 39, 33, 60, 52, 5]",9,8,free_flow_time,1.5894974171194114
40,1,5,9,"[1, 40, 50, 51, 44, 54, 52, 5]",8,7,free_flow_time,1.5941808845297012
41,1,6,0,"[1, 40, 30, 51, 44, 49, 43, 36, 46, 65, 6]",11,10,free_flow_time,1.8839352822625242
42,1,6,1,"[1, 40, 30, 51, 44, 54, 43, 36, 46, 65, 6]",11,10,free_flow_time,1.890583750041374
